Кафедра,Уровень обучения,Форма обучениия,Шифр Направления,Направление подготовки,Шифр специальности,Название профиля или специальности,Русский,Английский,Ссылка на страницу на сайте admission.rudn.ru,Бюджетные места,"Продолжительность обучения, лет","Стоимость обучения по контракту(1 год)","Стоимость обучения по контракту(2 год)","Стоимость обучения по контракту(3 год)","Стоимость обучения по контракту(4 год)","Стоимость обучения по контракту(5 год)","Обязательный предмет 1 (название)","Обязательный предмет 1 (баллы бюджет или контракт)","Обязательный предмет 1(доп. баллы только для контракта)","Обязательный предмет 2 (название)","Обязательный предмет 2 (баллы бюджет или контракт)","Обязательный предмет 2 (доп. баллы только для контракта)","Обязательный предмет 3 (название)","Обязательный предмет 3 (баллы бюджет или контракт)","Обязательный предмет 3 (доп. баллы только для контракта)","Обязательный предмет 4 (название)","Обязательный предмет 4 (баллы бюджет или контракт)","Обязательный предмет 4 (доп. баллы только для контракта)","Дополнительный предмет 1 (название)","Дополнительный предмет 1  (баллы бюджет или контракт)","Дополнительный предмет 1 (доп. баллы только для контракта)","Дополнительный предмет 2 (название)","Дополнительный предмет 2 (баллы бюджет или контракт)","Дополнительный предмет 2 (доп. баллы только для контракта)","Дополнительный предмет 3 (название)","Дополнительный предмет 3 (баллы бюджет или контракт)","Дополнительный предмет 3 (доп. баллы только для контракта)","Дополнительный предмет 4 (название)","Дополнительный предмет 4 (баллы бюджет или контракт)","Дополнительный предмет 4 (доп. баллы только для контракта)","Дополнительный предмет 5 (название)","Дополнительный предмет 5 (баллы бюджет или контракт)","Дополнительный предмет 5 (доп. баллы только для контракта)"
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.10,"Геология, поиски и разведка твердых полезных ископаемых, минерагения",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/postgraduate/directions/programs/1_6_10_geologiya_poiski_i_razvedka_tverdykh_poleznykh_iskopaemykh_minerageniya_ochnaya2641125/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.11,"Геология, поиски, разведка и эксплуатация нефтяных и газовых месторождений",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/postgraduate/directions/programs/1_6_11_geologiya_poiski_razvedka_i_ekspluatatsiya_neftyanykh_i_gazovykh_mestorozhdeniy_ochnaya2641043/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.10,"Геология, поиски, разведка и эксплуатация нефтяных и газовых месторождений",ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/1_6_11_geologiya_poiski_razvedka_i_ekspluatatsiya_neftyanykh_i_gazovykh_mestorozhdeniy_ochnaya2641043/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,1.6,Науки о Земле и окружающей среде,1.6.11,"Геология, поиски и разведка твердых полезных ископаемых, минерагения",ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/1_6_10_geologiya_poiski_i_razvedka_tverdykh_poleznykh_iskopaemykh_minerageniya_ochnaya2641125/,3,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТСКМ,Аспирантура,очная,2.1,Строительство и архитектура,2.1.12,Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_1_12_arkhitektura_zdaniy_i_sooruzheniy_tvorcheskie_kontseptsii_arkhitekturnoy_deyatelnosti_ochnaya2641119/,2,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТСКМ,Аспирантура,очная,2.1,Строительство и архитектура,2.1,Строительство и архитектура,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_1_1_stroitelnye_konstruktsii_zdaniya_i_sooruzheniya_ochnaya2641105/,4,4,210000,273000,327600,357400,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КИМОП,Аспирантура,очная,2.3,Информационные технологии и телекоммуникации,2.3.4,Управление в организационных системах,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_3_4_upravlenie_v_organizatsionnykh_sistemakh_ochnaya2641033/,1,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Аспирантура,очная,2.3,Информационные технологии и телекоммуникации,2.3.1,"Системный анализ, управление и обработка информации",ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_3_1_sistemnyy_analiz_upravlenie_i_obrabotka_informatsii_ochnaya2641114/,1,3,220000,297000,359000,–,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КЭШ,Аспирантура,очная,2.4,Энергетика и электротехника,2.4.7,Турбомашины и поршневые двигатели,ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_4_7_turbomashiny_i_porshnevye_dvigateli_ochnaya2641081/,2,4,210000,273000,327600,357400,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Аспирантура,очная,2.5,Машиностроение,2.5.16,"Динамика, баллистика и управление движением летательных аппаратов",ИСТИНА,ИСТИНА,https://admission.rudn.ru/postgraduate/directions/programs/2_5_16_dinamika_ballistika_i_upravlenie_dvizheniem_letatelnykh_apparatov_ochnaya2641084/,3,4,200000,260000,338000,350800,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Аспирантура,очная,2.8,Недропользование и горные науки,2.8.4,Разработка и эксплуатация нефтяных и газовых месторождений,ЛОЖЬ,ИСТИНА,,,4,240000,288000,311200,382400,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТТТ,Аспирантура,очная,2.9,Транспортные системы,2.9.5,Эксплуатация автомобильного транспорта,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/postgraduate/directions/programs/2_9_5_ekspluatatsiya_avtomobilnogo_transporta_ochnaya2641151/,1,4,210000,273000,327600,357400,–,Специальная дисциплина,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Бакалавриат,очная,01.03.02,Прикладная математика и информатика,,Математические методы механики космического полета и анализа геоинформационных данных,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/matematicheskie_metody_mekhaniki_kosmicheskogo_poleta_i_analiza_geoinformatsionnykh_dannykh_ochnaya4528038/,30,4,260000,276000,,,,Математика,45,39,Русский язык,45,40,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,45,44,Иностранный язык,35,,,,
КАРД,Бакалавриат,очная,07.03.00,Архитектура,,Архитектура,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/arkhitektura_ochnaya102377/,45,5,335000,,,,,Математика,39,,Русский язык,40,,Профессиональное испытание,50,30,Творческое испытание,50,30,,,,,,,,,,,,,,,
КАРД,Бакалавриат,очная,07.03.00,Архитектура,,Дизайн промышленных и социальных объектов,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/dizayn_promyshlennykh_i_sotsialnykh_obektov_ochnaya102576/,45,5,335000,,,,,Математика,39,,Русский язык,40,,Профессиональное испытание,50,30,Творческое испытание,50,30,,,,,,,,,,,,,,,
КАРД,Бакалавриат,очная,07.03.00,Архитектура,,Реконструкция и реставрация архитектурного наследия,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/rekonstruktsiya_i_restavratsiya_arkhitekturnogo_naslediya_ochnaya2636553/,45,5,335000,,,,,Математика,39,,Русский язык,40,,Профессиональное испытание,50,30,Творческое испытание,50,30,,,,,,,,,,,,,,,
КАРД,Бакалавриат,очно-заочная,07.03.00,Архитектура,,Архитектура,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/arkhitektura_ochno_zaochnaya102377/,,5.5,180000,,,,,Математика,39,,Русский язык,40,,Профессиональное испытание,30,,Творческое испытание,30,,,,,,,,,,,,,,,,
КАРД,Бакалавриат,очно-заочная,07.03.00,Архитектура,,Дизайн промышленных и социальных объектов,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/dizayn_promyshlennykh_i_sotsialnykh_obektov_ochno_zaochnaya102576/,,5.5,180000,,,,,Математика,39,,Русский язык,40,,Профессиональное испытание,30,,Творческое испытание,30,,,,,,,,,,,,,,,,
КАРД,Бакалавриат,очно-заочная,07.03.00,Архитектура,,Реконструкция и реставрация архитектурного наследия,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/rekonstruktsiya_i_restavratsiya_arkhitekturnogo_naslediya_ochno_zaochnaya2636553/,,5.5,180000,,,,,Математика,39,,Русский язык,40,,Профессиональное испытание,30,,Творческое испытание,30,,,,,,,,,,,,,,,,
КТСКМ,Бакалавриат,очная,08.03.01,Строительство,,Строительство,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/stroitelstvo_ochnaya105137/,49,4,270000,335000,,,,Математика,45,39,Русский язык,45,40,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,45,44,Иностранный язык,35,,,,
КТСКМ,Бакалавриат,очно-заочная,08.03.01,Строительство,,Строительство,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/stroitelstvo_ochno_zaochnaya105137/,,5,125000,,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КЭШ,Бакалавриат,очная,13.03.03,Энергетическое машиностроение,,Комбинированные энергетические установки и альтернативная энергетика,ИСТИНА,ЛОЖЬ,,35,4,200000,275600,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,География,40,
КМТ,Бакалавриат,очная,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,,Системная инженерия машиностроительных производств,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/sistemnaya_inzheneriya_mashinostroitelnykh_proizvodstv_ochnaya4528043/,34,4,200000,275600,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КМТ,Бакалавриат,заочная,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,,Системная инженерия машиностроительных производств,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/sistemnaya_inzheneriya_mashinostroitelnykh_proizvodstv_zaochnaya4528043/,,5,95500,95500,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КННД,Бакалавриат,очная,21.03.01,Нефтегазовое дело,,"Разработка нефтяных и газовых месторождений, транспортировка, хранение и переработка нефти и газа",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/razrabotka_neftyanykh_i_gazovykh_mestorozhdeniy_transportirovka_khranenie_i_pererabotka_nefti_i_gaza_ochnaya2636546/,13,4,280000,332000,,,,Математика,45,39,Русский язык,45,40,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,45,44,Иностранный язык,35,,География,40,
КННД,Бакалавриат,очно-заочная,21.03.01,Нефтегазовое дело,,"Разработка нефтяных и газовых месторождений, транспортировка, хранение и переработка нефти и газа",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/razrabotka_neftyanykh_i_gazovykh_mestorozhdeniy_transportirovka_khranenie_i_pererabotka_nefti_i_gaza_ochno_zaochnaya2636546/,,4.5,160000,,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,География,40,
КТТТ,Бакалавриат,очная,23.03.03,Эксплуатация транспортно-технологических машин и комплексов,,Эксплуатация автомобилей и электромобилей,ИСТИНА,ЛОЖЬ,,34,4,200000,275600,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КМПУ,Бакалавриат,очная,27.03.04,Управление в технических системах,,"Data Engineering, интеллектуальные системы и кибербезопасность  ",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/data_engineering_intellektualnye_sistemy_i_kiberbezopasnost_ochnaya6199747/,20,4,230000,297500,,,,Математика,45,39,Русский язык,45,40,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,45,44,Иностранный язык,35,,,,
КМПУ,Бакалавриат,очная,27.03.04,Управление в технических системах,,Data Engineering и управление космическими системами,ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/undergraduate/directions/programs/data_engineering_i_upravlenie_kosmicheskimi_sistemami_ochnaya4528049/,16,4,230000,297500,,,,Математика,45,39,Русский язык,45,40,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,45,44,Иностранный язык,35,,,,
КИМОП,Бакалавриат,очная,27.03.05,Инноватика,,Управление инновациями в отраслях промышленности,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/upravlenie_innovatsiyami_v_otraslyakh_promyshlennosti_ochnaya2636555/,20,4,250000,297000,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КИМОП,Бакалавриат,заочная,27.03.05,Инноватика,,Управление инновациями в отраслях промышленности,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/upravlenie_innovatsiyami_v_otraslyakh_promyshlennosti_zaochnaya2636555/,,5,115000,,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КНМТ,Бакалавриат,очная,28.03.02,Наноинженерия,,Нанотехнологии и наноматериалы в приборостроении,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/nanotekhnologii_i_nanomaterialy_v_priborostroenii_ochnaya102938/,48,4,260000,339000,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КНМТ,Бакалавриат,заочная,28.03.02,Наноинженерия,,Нанотехнологии и наноматериалы в приборостроении,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/nanotekhnologii_i_nanomaterialy_v_priborostroenii_zaochnaya4528050/,,5,110000,,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КМПУ,Магистратура,очная,01.04.02,Прикладная математика и информатика ,,Баллистическое проектирование космических комплексов и систем (EPF Graduate School of Engineering),ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/master/directions/programs/ballisticheskoe_proektirovanie_kosmicheskikh_kompleksov_i_sistem_epf_graduate_school_of_engineering_ochnaya102403/,26,2,240000,312000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Магистратура,очная,01.04.02,Прикладная математика и информатика ,,Баллистическое проектирование космических комплексов и систем,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/ballisticheskoe_proektirovanie_kosmicheskikh_kompleksov_i_sistem_ochnaya102403/,26,2,240000,312000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Магистратура,очная,01.04.02,Прикладная математика и информатика ,,Data Science и цифровая трансформация,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/data_science_i_tsifrovaya_transformatsiya_ochnaya102240/,26,2,240000,312000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Магистратура,очная,02.04.02,Фундаментальная информатика и информационные технологии,,Анализ больших данных и технологии защиты информации,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/analiz_bolshikh_dannykh_i_tekhnologii_zashchity_informatsii_ochnaya4528040/,18,2,260000,292000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Магистратура,очная,05.04.01,Геология,,Инновационные технологии в поиске и разведке месторождений нефти и газа,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/innovatsionnye_tekhnologii_v_poiske_i_razvedke_mestorozhdeniy_nefti_i_gaza_ochnaya102631/,15,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Магистратура,очная,05.04.01,Геология,,Инновационные технологии в поиске и разведке твердых полезных ископаемых,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/innovatsionnye_tekhnologii_v_poiske_i_razvedke_tverdykh_poleznykh_iskopaemykh_ochnaya102632/,15,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Магистратура,очная,05.04.01,Геология,,"Mining geology/Горнопромышленная геология (совместно с ФГАОУ ВО ""Национальный исследовательский технологический университет ""МИСиС"", 20.04.01 Техносферная безопасность (МИСиС), междисциплинарная магистратура, на английском языке)",ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/master/directions/programs/mining_geology_gornopromyshlennaya_geologiya_sovmestno_s_fgaou_vo_natsionalnyy_issledovatelskiy_tekh_ochnaya4561996/,15,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КАРД,Магистратура,очная,07.04.01,Архитектура,,"Архитектура жилых, общественных и промышленных зданий",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/arkhitektura_zhilykh_obshchestvennykh_i_promyshlennykh_zdaniy_ochnaya102391/,10,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КАРД,Магистратура,очно-заочная,07.04.01,Архитектура,,"Архитектура жилых, общественных и промышленных зданий",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/arkhitektura_zhilykh_obshchestvennykh_i_promyshlennykh_zdaniy_ochno_zaochnaya102391/,,2,155000,,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КАРД,Магистратура,очная,07.04.02,Реконструкция и реставрация  архитектурного наследия ,,Архитектура историко-культурных объектов,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/arkhitektura_istoriko_kulturnykh_obektov_ochnaya2636554/,10,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КАРД,Магистратура,очная,07.04.03,Дизайн архитектурной среды ,,Параметрический цифровой дизайн в архитектурной среде (цифровая магистратура),ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/parametricheskiy_tsifrovoy_dizayn_v_arkhitekturnoy_srede_tsifrovaya_magistratura_ochnaya104626/,10,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТСКМ,Магистратура,очная,08.04.01,Строительство,,Строительная инженерия и построенная среда,ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/master/directions/programs/stroitelnaya_inzheneriya_i_postroennaya_sreda_ochnaya105131/,45,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТСКМ,Магистратура,очная,08.04.01,Строительство,,Проектирование зданий и специальных сооружений,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/proektirovanie_zdaniy_i_spetsialnykh_sooruzheniy_ochnaya105218/,45,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КЭШ,Магистратура,очная,13.04.03,Энергетическое машиностроение ,,Машиностроение,ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/master/directions/programs/mashinostroenie_ochnaya102808/,12,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КЭШ,Магистратура,очная,13.04.03,Энергетическое машиностроение ,,Эксплуатация оборудования энергетических систем,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/ekspluatatsiya_oborudovaniya_energeticheskikh_sistem_ochnaya4528045/,12,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КЭШ,Магистратура,заочная,13.04.03,Энергетическое машиностроение ,,Эксплуатация оборудования энергетических систем,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/ekspluatatsiya_oborudovaniya_energeticheskikh_sistem_zaochnaya4528045/,,2,95500,,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМТ,Магистратура,очная,15.04.05,Конструкторско-технологическое обеспечение машиностроительных производств ,,Проектирование энергетических установок,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/konstruktorsko_tekhnologicheskoe_obespechenie_energeticheskikh_proizvodstv_ochnaya4562596/,14,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМТ,Магистратура,очно-заочная,15.04.05,Конструкторско-технологическое обеспечение машиностроительных производств ,,Технологии машиностроения и автоматизации производства,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/tekhnologii_avtomatizatsii_promyshlennykh_sistem_ochno_zaochnaya105262/,,2,95000,,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Магистратура,очная,21.04.01,Нефтегазовое дело,,Технологии добычи и транспортировки нефти и газа,ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/master/directions/programs/tekhnologii_dobychi_i_transportirovki_nefti_i_gaza_ochnaya105265/,11,2,250000,395000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Магистратура,очная,21.04.01,Нефтегазовое дело,,"Технологии добычи, транспортировки и переработки нефти и газа",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/tekhnologii_dobychi_transportirovki_i_pererabotki_nefti_i_gaza_ochnaya2636548/,11,2,250000,395000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Магистратура,очно-заочная,21.04.01,Нефтегазовое дело,,"Технологии добычи, транспортировки и переработки нефти и газа",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/tekhnologii_dobychi_transportirovki_i_pererabotki_nefti_i_gaza_ochno_zaochnaya2636548/,,2,135000,,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТТТ,Магистратура,очная,23.04.03,Эксплуатация транспортно-технологических машин и комплексов,,Эксплуатация и техническая экспертиза автотранспортных средств,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/ekspluatatsiya_i_tekhnicheskaya_ekspertiza_avtotransportnykh_sredstv_ochnaya105678/,28,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КТТТ,Магистратура,заочная,23.04.03,Эксплуатация транспортно-технологических машин и комплексов ,,Эксплуатация и техническая экспертиза автотранспортных средств,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/ekspluatatsiya_i_tekhnicheskaya_ekspertiza_avtotransportnykh_sredstv_zaochnaya105678/,,2,95000,,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КМПУ,Магистратура,очная,27.04.04,Управление в технических системах ,,Искусственный интеллект и робототехнические системы,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/iskusstvennyy_intellekt_i_robototekhnicheskie_sistemy_ochnaya102666/,12,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КИМОП,Магистратура,очная,27.04.05,Инноватика,,Digital transformation in production management / Цифровая трансформация в управлении производством,ЛОЖЬ,ИСТИНА,https://admission.rudn.ru/master/directions/programs/upravlenie_innovatsiyami_ochnaya2636558/,12,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КИМОП,Магистратура,очная,27.04.05,Инноватика,,Цифровая трансформация в управлении производством,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/upravlenie_innovatsiyami_ochnaya2636558/,12,2,250000,326000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КИМОП,Магистратура,заочная,27.04.05,Инноватика,,Цифровая трансформация в управлении производством,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/upravlenie_innovatsiyami_zaochnaya2636558/,,2,95500,,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КНМТ,Магистратура,очная,28.04.01,Нанотехнологии и микросистемная техника ,,Инженерно-физические технологии в наноиндустрии,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/master/directions/programs/inzhenerno_fizicheskie_tekhnologii_v_nanoindustrii_ochnaya102624/,19,2,260000,395000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КНМТ,Магистратура,очная,28.04.01,Нанотехнологии и микросистемная техника ,,Инженерно-физические технологии в наноиндустрии (Евразийский национальный университет имени Л.Н. Гумилёва),,,https://admission.rudn.ru/master/directions/programs/inzhenerno_fizicheskie_tekhnologii_v_nanoindustrii_evraziyskiy_natsionalnyy_universitet_imeni_l_n_gu_ochnaya102624/,19,2,260000,395000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КНМТ,Магистратура,очная,28.04.01,Нанотехнологии и микросистемная техника ,,Нанотехнологии (Казахский национальный университет им. Аль-Фараби),,,https://admission.rudn.ru/master/directions/programs/nanotekhnologii_kazakhskiy_natsionalnyy_universitet_im_al_farabi_ochnaya102942/,19,2,260000,395000,,,,Междисциплинарный экзамен,30,,,,,,,,,,,,,,,,,,,,,,,,,
КННД,Специалитет,очная,21.05.00,"Прикладная геология, горное дело, нефтегазовое дело и геодезия",,"Геологическая съемка, поиски и разведка месторождений твердых полезных ископаемых",ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/geologicheskaya_semka_poiski_i_razvedka_mestorozhdeniy_tverdykh_poleznykh_iskopaemykh_ochnaya102500/,47,5,225000,320000,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КННД,Специалитет,очная,21.05.00,"Прикладная геология, горное дело, нефтегазовое дело и геодезия",,Геология нефти и газа,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/geologiya_nefti_i_gaza_ochnaya102504/,47,5,225000,320000,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,
КННД,Специалитет,очная,21.05.00,"Прикладная геология, горное дело, нефтегазовое дело и геодезия",,Маркшейдерское дело,ИСТИНА,ЛОЖЬ,https://admission.rudn.ru/undergraduate/directions/programs/marksheyderskoe_delo_ochnaya102778/,47,5.5,225000,320000,,,,Математика,39,,Русский язык,40,,,,,,,,Физика,39,,Химия,39,,Информатика и ИКТ,44,,Иностранный язык,35,,,,